Date,Team,Acquired,Relinquished,Notes,Year
2010-11-20,Lions,,Kevin Smith (Ryan),placed on IR with thumb injury,2010
2010-11-20,Saints,,Jason Kyle,placed on IR with shoulder injury,2010
2010-11-20,Vikings,Sidney Rice,,activated from physically unable to perform list (CBC CBS E NFL),2010
2010-11-22,Bengals,,Chris Crocker,placed on IR with torn MCL in right knee,2010
2010-11-22,Bengals,,Frostee Rucker,placed on IR with knee injury,2010
2010-11-22,Dolphins,,Cory Procter,placed on IR with torn ACL in left knee,2010
2010-11-22,Eagles,,Ellis Hobbs,placed on IR with neck injury,2010
2010-11-22,Redskins,,Anderson Russell,placed on IR with torn ACL,2010
2010-11-22,Redskins,,Chad Simpson,placed on IR with foot injury,2010
2010-11-22,Titans,,Vince Young,placed on IR with right thumb injury,2010
2010-11-23,Bengals,,Terry Johnson / Tank Johnson,placed on IR with right knee injury,2010
2010-11-23,Bills,,John Russell,placed on practice squad IR with undisclosed injury,2010
2010-11-23,Browns,,Blake Costanzo,placed on IR with groin injury,2010
2010-11-23,Cardinals,,Will Davis,placed on IR with fractured left fibula,2010
2010-11-23,Colts,,Chip Vaughn,placed on IR with left foot/ankle injury,2010
2010-11-23,Panthers,,Sean Ware,placed on practice squad IR with undisclosed injury (CBC E),2010
2010-11-23,Saints,,Stanley Arnoux,placed on IR with Achilles tendon injury,2010
2010-11-23,Titans,David Thornton,,activated from reserve/physically unable to perform list,2010
2010-11-23,Bills,Cornell Green (Duane),,activated from IR,2010
2010-11-24,Giants,,Madison Hedgecock,placed on IR with hamstring injury,2010
2010-11-24,Raiders,,Trevor Scott,placed on IR with torn ACL in left knee,2010
2010-11-24,Redskins,,Clinton Portis,placed on IR with groin injury,2010
2010-11-24,Vikings,,Anthony Herrera,placed on IR with torn ACL in left knee,2010
2010-11-26,Seahawks,,Anthony McCoy,placed on IR with knee injury,2010
2010-11-27,Bills,,Keith Ellison,placed on IR with knee injury,2010
2010-11-27,Bills,,Shawne Merriman,placed on IR with calf / Achilles tendon injury,2010
2010-11-29,Buccaneers,,Cody Grimm,placed on IR with fibula injury,2010
2010-11-29,Buccaneers,,Davin Joseph,placed on IR with fractured foot,2010
2010-11-30,49ers,,Dominique Zeigler,placed on IR with knee injury,2010
2010-11-30,49ers,,Frank Gore,placed on IR with right hip injury,2010
2010-11-30,Buccaneers,,Kyle Moore (b),placed on IR with shoulder injury,2010
2010-11-30,Colts,,Cody Glenn,placed on IR with neck injury,2010
2010-11-30,Dolphins,Phillip Merling,,activated from reserve/non-football injury list,2010
2010-11-30,Packers,,Brandon Chillar,placed on IR with shoulder injury,2010
2010-11-30,Packers,,Spencer Havner,placed on IR with hamstring injury,2010
2010-11-30,Texans,Anthony Hill,,activated from physically unable to perform list,2010
2010-12-01,Bills,,Reggie Torbor,placed on IR with shoulder injury,2010
2010-12-01,Texans,,Torri Williams,placed on IR with hamstring injury,2010
2010-12-02,Bengals,,Antwan Odom,placed on IR with wrist injury,2010
2010-12-02,Bills,,Dwan Edwards,placed on IR with hamstring injury,2010
2010-12-02,Jaguars,,Jacob Cutrera,placed on IR with concussion,2010
2010-12-02,Lions,,Jason Hanson,placed on IR with right knee injury,2010
2010-12-02,Patriots,,Stephen Neal,placed on IR with shoulder injury,2010
2010-12-02,Raiders,,Bruce Gradkowski,placed on IR with right shoulder injury,2010
2010-12-03,Cowboys,,Sean Lissemore,placed on IR with ankle injury,2010
2010-12-03,Panthers,,Tony Pike,placed on IR with shoulder injury,2010
2010-12-04,Jets,,Jim Leonhard (b),placed on IR with broken leg,2010
2010-12-06,Bills,,Antonio Coleman,placed on IR with knee injury,2010
2010-12-06,Broncos,,Dan Gronkowski,placed on IR with ankle injury,2010
2010-12-06,Broncos,,Joe Mays,placed on IR with left knee injury,2010
2010-12-06,Buccaneers,,Aqib Talib,placed on IR with hip injury,2010
2010-12-06,Buccaneers,,Jeff Faine,placed on IR with quadriceps injury,2010
2010-12-07,Bills,,Kraig Urbik,placed on IR with knee injury,2010
2010-12-07,Cardinals,,Max Hall,placed on IR with left shoulder injury,2010
2010-12-07,Colts,,Jerraud Powers,placed on IR with forearm injury,2010
2010-12-07,Dolphins,,Al Harris (b. 1974-12-07),placed on IR with hamstring injury,2010
2010-12-07,Rams,,Na'il Diggs,placed on IR with pectoral muscle injury,2010
2010-12-07,Steelers,,Daniel Sepulveda / Dan Sepulveda,placed on IR with torn ACL in right knee,2010
2010-12-07,Texans,,Jesse Nading,placed on IR with knee injury,2010
2010-12-07,Vikings,,Albert Young,placed on IR with knee injury,2010
2010-12-08,Bengals,,Brandon Ghee,placed on IR with groin injury,2010
2010-12-08,Chiefs,,Jackie Bates,placed on IR with knee injury,2010
2010-12-08,Colts,,(Demond) Bob Sanders,placed on IR with biceps injury,2010
2010-12-08,Cowboys,,Dez Bryant,placed on IR with ankle/fibula injury,2010
2010-12-08,Lions,,Alphonso Smith,placed on IR with right shoulder injury,2010
2010-12-08,Lions,,Kyle Vanden Bosch,placed on IR with neck injury,2010
2010-12-08,Saints,,Ladell Betts,placed on IR with neck injury,2010
2010-12-10,Bengals,,Rico Murray,placed on IR with ankle injury,2010
2010-12-10,Jaguars,,Kevin Haslam,placed on IR with hand injury,2010
2010-12-10,Lions,,Derrick Williams (b),placed on IR with right ankle injury,2010
2010-12-11,Dolphins,,Brian Hartline,placed on IR with finger injury,2010
2010-12-11,Lions,,Isaiah Ekejiuba,placed on IR with knee injury,2010
2010-12-13,Bengals,,Chinedum Ndukwe / Nedu Ndukwe,placed on IR with knee injury,2010
2010-12-13,Broncos,,Kyle McCarthy,placed on IR with knee injury,2010
2010-12-13,Lions,,Brandon McDonald,placed on IR with forearm injury,2010
2010-12-13,Panthers,,Everette Brown,placed on IR with wrist injury,2010
2010-12-13,Panthers,,Jason Williams,placed on IR with torn ACL in left knee,2010
2010-12-13,Redskins,,LaRon Landry,placed on IR with Achilles tendon injury,2010
2010-12-13,Seahawks,,Deon Butler (a),placed on IR with right leg (fibula) injury,2010
2010-12-14,Bengals,,Tom Nelson,placed on non-football injury list,2010
2010-12-14,Bills,,Lee Evans,placed on IR with ankle injury,2010
2010-12-14,Bills,,Shawn Nelson,placed on non-football injury list with illness (NFL) / headaches (CBC),2010
2010-12-14,Buccaneers,,Gerald McCoy,placed on IR with torn right biceps,2010
2010-12-14,Buccaneers,,Quincy Black,placed on IR with broken arm,2010
2010-12-14,Dolphins,,Vernon Carey,placed on IR with knee injury,2010
2010-12-14,Eagles,,Brandon Graham,placed on IR with torn ACL in right knee,2010
2010-12-14,Panthers,,Travelle Wharton,placed on IR with toe injury,2010
2010-12-14,Titans,,Eugene Amano,placed on IR with shoulder / neck (CBS NFL) injury,2010
2010-12-14,Vikings,,Chris Cook (a),placed on IR with knee injury,2010
2010-12-15,Cowboys,,Kevin Ogletree,placed on IR with toe injury,2010
2010-12-15,Giants,,Clint Sintim,placed on IR with torn ACL in right knee,2010
2010-12-15,Lions,,Gosder Cherilus,placed on IR with knee injury,2010
2010-12-15,Patriots,,Jonathan Wilhite,placed on IR with hip injury,2010
2010-12-15,Texans,,David Anderson,placed on IR with shoulder injury,2010
2010-12-15,Texans,,Mario Williams,placed on IR with sports hernia,2010
2010-12-15,Texans,,Mike Brisiel,placed on IR with shoulder injury,2010
2010-12-15,Titans,,(Robert) Tony Brown,placed on IR with knee injury,2010
2010-12-16,Chargers,,Pat Watkins,placed on IR with knee injury,2010
2010-12-16,Giants,,Steve Smith (b. 1985-05-06),placed on IR with left knee injury,2010
2010-12-16,Vikings,,Tarvaris Jackson,placed on IR with toe injury,2010
2010-12-17,Jaguars,,Terrence Wheatley,placed on IR with hamstring injury,2010
2010-12-18,49ers,,Joe Nedney,placed on IR with right knee injury,2010
2010-12-18,49ers,,Travis LaBoy,placed on IR with knee injury,2010
2010-12-18,Packers,,Anthony Smith (b),placed on IR with ankle injury,2010
2010-12-18,Titans,,Dave Ball,placed on IR with concussion and hip injury,2010
2010-12-18,Titans,,Ryan Mouton,placed on IR with ankle injury,2010
2010-12-20,Browns,,Eric Wright,placed on IR with knee injury,2010
2010-12-20,Redskins,,Phillip Daniels,placed on IR with abdomen and groin injuries,2010
2010-12-20,Seahawks,,Roy Lewis,placed on IR with knee injury,2010
2010-12-20,Vikings,,Steve Hutchinson,placed on IR with thumb injury,2010
2010-12-21,Bengals,,Terrell Owens,placed on IR with left knee injury,2010
2010-12-21,Browns,,Scott Fujita,placed on IR with knee injury,2010
2010-12-21,Cowboys,,Tony Romo (Ramiro),placed on IR with left shoulder injury,2010
2010-12-21,Eagles,,Nate Allen (b),placed on IR with knee injury,2010
2010-12-21,Packers,,Terrance Smith (b. 1987-02-09),placed on practice squad IR with undisclosed injury,2010
2010-12-22,Broncos,,Spencer Larsen,placed on IR with ankle injury,2010
2010-12-22,Browns,,Evan Moore,placed on IR with hip injury,2010
2010-12-22,Cardinals,,Early Doucet,placed on IR with hip injury,2010
2010-12-22,Colts,,Austin Collie,placed on IR with concussion,2010
2010-12-22,Rams,,Brit Miller,placed on IR with torn ACL in right knee,2010
2010-12-22,Redskins,,Ma'ake Kemoeatu,placed on IR with shoulder injury,2010
2010-12-22,Seahawks,,Derek Walker,placed on IR with undisclosed injury (CBC),2010
2010-12-22,Seahawks,Ben Hamilton,,activated from IR,2010
2010-12-23,Broncos,,Matt Prater,placed on IR with right groin injury,2010
2010-12-23,Eagles,,Jorrick Calvin,placed on IR with back injury,2010
2010-12-23,Seahawks,,Junior Siavii,placed on IR with neck injury,2010
2010-12-24,Lions,,Matthew Stafford,placed on IR with separated right shoulder,2010
2010-12-25,Redskins,,Kedric Golston,placed on IR with groin injury,2010
2010-12-27,Buccaneers,,Arrelious Benn,placed on IR with torn ACL in left knee,2010
2010-12-27,Ravens,,Morgan Cox,placed on IR with left knee injury,2010
2010-12-28,Bengals,,Brian Leonard,placed on IR with ankle injury,2010
2010-12-28,Bills,,Cordaro Howard / Cord Howard,placed on IR with shoulder injury,2010
2010-12-28,Falcons,,Shann Schillinger,placed on IR with ankle injury,2010
2010-12-29,Broncos,,Lee Robinson,placed on IR with hamstring injury,2010
2010-12-29,Eagles,,Jeff Owens,placed on IR with ruptured patella tendon in knee,2010
2010-12-29,Redskins,,Kareem Moore,placed on IR with knee injury,2010
2010-12-29,Texans,,Darryl Sharpton,placed on IR with shoulder injury,2010
2010-12-30,Chargers,,Antonio Gates,placed on IR with foot/toe injury,2010
2010-12-30,Giants,,Will Blackmon,placed on IR with knee injury,2010
2010-12-30,Jaguars,,David Garrard,placed on IR with right finger injury,2010
2010-12-30,Lions,,Landon Johnson,placed on IR with neck injury / concussion (CBC),2010
2010-12-30,Saints,,Courtney Roby,placed on IR with concussion,2010
2010-12-30,Bears,Averell Spicer,,activated from IR,2010
2010-12-30,Dolphins,Al Harris (b. 1974-12-07),,activated from IR,2010
2010-12-31,Chargers,,Mike Tolbert,"placed on IR with neck, shoulder injuries",2010
2010-12-31,Chargers,,Stephen Cooper,placed on IR with knee injury,2010
2010-12-31,Cowboys,,Leon Williams (b),placed on IR with hamstring injury,2010
2010-12-31,Cowboys,,Sam Hurd,placed on IR with head injury / concussion,2010
2010-12-31,Dolphins,,Karlos Dansby,placed on IR with toe injury,2010
2010-12-31,Packers,,Marshall Newhouse,placed on IR with back injury (out for season),2010
2010-12-31,Vikings,,Madieu Williams,placed on IR with concussion,2010
2011-01-01,Panthers,,Tony Fiammetta,placed on IR with ankle injury,2010
2011-01-01,Vikings,,Tyrell Johnson,placed on IR with knee injury,2010
2011-01-01,Giants,Will Blackmon,,activated from IR,2010
2011-01-03,Bills,Shawne Merriman,,activated from IR,2010
2011-01-03,Patriots,,Ron Brace,placed on IR with elbow injury,2010
2011-01-04,Saints,,Chris Ivory,placed on IR with left foot injury,2010
2011-01-04,Seahawks,,Chester Pitts,placed on IR with concussion,2010
2011-01-04,Seahawks,,Chris Baker (a),placed on IR with hip injury,2010
2011-01-04,Seahawks,,Chris Henry (J.),placed on practice squad IR with leg injury (CBC E),2010
2011-01-04,Rams,Marquis Johnson,,activated from IR,2010
2011-01-05,Chiefs,,Donald Washington,placed on IR with ankle injury,2010
2011-01-05,Saints,,Pierre Thomas,placed on IR with ankle injury,2010
2011-01-07,Patriots,,Mike Wright (c),placed on IR with concussion,2010
2011-01-08,Colts,,Kelvin Hayden,placed on IR with neck injury,2010
2011-01-12,Jets,,Damien Woody,placed on IR with torn left Achilles tendon,2010
2011-02-05,Steelers,,Maurkice Pouncey,placed on IR with left ankle injury,2010
2011-02-07,Bengals,Adam Jones / Pacman Jones,,activated from IR,2010
2011-02-07,Bengals,Andre Smith (Dewayne),,activated from IR,2010
2011-02-07,Bengals,Andrew Mitchell,,activated from IR,2010
2011-02-07,Bengals,Antwan Odom,,activated from IR,2010
2011-02-07,Bengals,Brandon Ghee,,activated from IR,2010
2011-02-07,Bengals,Brian Leonard,,activated from IR,2010
2011-02-07,Bengals,Chinedum Ndukwe / Nedu Ndukwe,,activated from IR,2010
2011-02-07,Bengals,Chris Crocker,,activated from IR,2010
2011-02-07,Bengals,Frostee Rucker,,activated from IR,2010
2011-02-07,Bengals,Gibril Wilson,,activated from IR,2010
2011-02-07,Bengals,Jonathan Fanene,,activated from IR,2010
2011-02-07,Bengals,Mike Nugent,,activated from IR,2010
2011-02-07,Bengals,Morgan Trent,,activated from IR,2010
2011-02-07,Bengals,Rico Murray,,activated from IR,2010
2011-02-07,Bengals,Taufui Vakapuna / Fui Vakapuna,,activated from IR,2010
2011-02-07,Bengals,Terrell Owens,,activated from IR,2010
2011-02-07,Bengals,Terry Johnson / Tank Johnson,,activated from IR,2010
2011-02-07,Bills,Andra Davis,,activated from IR,2010
2011-02-07,Bills,Antonio Coleman,,activated from IR,2010
2011-02-07,Bills,Cordaro Howard / Cord Howard,,activated from IR,2010
2011-02-07,Bills,Danny Batten,,activated from IR,2010
2011-02-07,Bills,Dwan Edwards,,activated from IR,2010
2011-02-07,Bills,Felton Huggins,,activated from IR,2010
2011-02-07,Bills,Keith Ellison,,activated from IR,2010
2011-02-07,Bills,Kraig Urbik,,activated from IR,2010
2011-02-07,Bills,Lee Evans,,activated from IR,2010
2011-02-07,Bills,Marcus Easley,,activated from IR,2010
2011-02-07,Bills,Reggie Torbor,,activated from IR,2010
2011-02-07,Bills,Roscoe Parrish,,activated from IR,2010
2011-02-07,Broncos,Dan Gronkowski,,activated from IR,2010
2011-02-07,Broncos,Elvis Dumervil,,activated from IR,2010
2011-02-07,Broncos,Joe Mays,,activated from IR,2010
2011-02-07,Broncos,Kyle McCarthy,,activated from IR,2010
2011-02-07,Broncos,Lee Robinson,,activated from IR,2010
2011-02-07,Broncos,LenDale White,,activated from IR,2010
2011-02-07,Broncos,Matt Prater,,activated from IR,2010
2011-02-07,Broncos,Matthew Willis / Matt Willis,,activated from IR,2010
2011-02-07,Broncos,Spencer Larsen,,activated from IR,2010
2011-02-07,Browns,Billy Yates,,activated from IR,2010
2011-02-07,Browns,Blake Costanzo,,activated from IR,2010
2011-02-07,Browns,D'Qwell Jackson,,activated from IR,2010
2011-02-07,Browns,Eric Wright,,activated from IR,2010
2011-02-07,Browns,Evan Moore,,activated from IR,2010
2011-02-07,Browns,Greg Estandia,,activated from IR,2010
2011-02-07,Browns,Johnathan Haggerty,,activated from IR,2010
2011-02-07,Browns,Kaluka Maiava,,activated from IR,2010
2011-02-07,Browns,Montario Hardesty,,activated from IR,2010
2011-02-07,Browns,Robaire Smith,,activated from IR,2010
2011-02-07,Browns,Scott Fujita,,activated from IR,2010
2011-02-07,Browns,Titus Adams,,activated from IR,2010
2011-02-07,Browns,Tony Pashos,,activated from IR,2010
2011-02-07,Chargers,Antonio Gates,,activated from IR,2010
2011-02-07,Chargers,Craig Davis / Buster Davis (b),,activated from IR,2010
2011-02-07,Chargers,David Binn,,activated from IR,2010
2011-02-07,Chargers,Donald Butler,,activated from IR,2010
2011-02-07,Chargers,James Dearth,,activated from IR,2010
2011-02-07,Chargers,James Holt,,activated from IR,2010
2011-02-07,Chargers,Jyles Tucker,,activated from IR,2010
2011-02-07,Chargers,Kion Wilson,,activated from IR,2010
2011-02-07,Chargers,Mike Tolbert,,activated from IR,2010
2011-02-07,Chargers,Pat Watkins,,activated from IR,2010
2011-02-07,Chargers,Ryan Neill,,activated from IR,2010
